scenario,shop_id,core_cluster,final_cluster,is_outlier_core,is_outlier_final,assign_confidence,nearest_cluster,nearest_dist,cluster_prob_core,outlier_score
S2_more_strict_density,484,1,1,False,False,1.0,-1,,1.0,0.08570836128969796
S2_more_strict_density,6,-1,4,True,False,0.0,4,0.7110086679458618,0.0,0.04361957706001855
S2_more_strict_density,65,-1,6,True,False,0.0,6,0.5211043357849121,0.0,0.24925002482047745
S2_more_strict_density,333,1,1,False,False,1.0,-1,,1.0,0.12371536833309948
S2_more_strict_density,1036,2,2,False,False,0.9038126184484705,-1,,0.9038126184484705,0.09618738155152949
S2_more_strict_density,409,1,1,False,False,1.0,-1,,1.0,0.06728812672965973
S2_more_strict_density,1029,-1,6,True,False,0.0,6,0.5701482892036438,0.0,0.1983956178302141
S2_more_strict_density,117,2,2,False,False,1.0,-1,,1.0,0.0
S2_more_strict_density,907,2,2,False,False,1.0,-1,,1.0,0.08891427048056624
S2_more_strict_density,290,2,2,False,False,1.0,-1,,1.0,0.09095410777491911
S2_more_strict_density,966,2,2,False,False,1.0,-1,,1.0,0.1585094604284571
S2_more_strict_density,1069,5,5,False,False,1.0,-1,,1.0,0.0
S2_more_strict_density,1070,1,1,False,False,1.0,-1,,1.0,0.0
S2_more_strict_density,969,1,1,False,False,1.0,-1,,1.0,0.3867946652020599
S2_more_strict_density,29,2,2,False,False,0.9658852311850019,-1,,0.9658852311850019,0.03411476881499807
S2_more_strict_density,101,1,1,False,False,1.0,-1,,1.0,0.12740770940727267
S2_more_strict_density,11,1,1,False,False,1.0,-1,,1.0,0.0
S2_more_strict_density,790,1,1,False,False,1.0,-1,,1.0,0.06994749083590267
S2_more_strict_density,389,1,1,False,False,1.0,-1,,1.0,0.20833753920610593
S2_more_strict_density,496,-1,4,True,False,0.0,4,1.3677560091018677,0.0,0.22462928420236228
S2_more_strict_density,590,1,1,False,False,1.0,-1,,1.0,0.0
S2_more_strict_density,505,1,1,False,False,1.0,-1,,1.0,0.0
S2_more_strict_density,146,2,2,False,False,1.0,-1,,1.0,0.2000769598282256
S2_more_strict_density,373,1,1,False,False,1.0,-1,,1.0,0.13853191888520044
S2_more_strict_density,1105,2,2,False,False,1.0,-1,,1.0,0.04674130733755255
S2_more_strict_density,34,1,1,False,False,1.0,-1,,1.0,0.09868382463585373
S2_more_strict_density,66,1,1,False,False,1.0,-1,,1.0,0.0
S2_more_strict_density,572,2,2,False,False,1.0,-1,,1.0,0.16972913066847167
S2_more_strict_density,374,1,1,False,False,1.0,-1,,1.0,0.0
S2_more_strict_density,742,2,2,False,False,1.0,-1,,1.0,0.33022141568007723
S2_more_strict_density,323,1,1,False,False,1.0,-1,,1.0,0.25174407816259714
S2_more_strict_density,241,2,2,False,False,1.0,-1,,1.0,0.09493014705010448
S2_more_strict_density,866,1,1,False,False,1.0,-1,,1.0,0.0
S2_more_strict_density,96,5,5,False,False,1.0,-1,,1.0,0.0
S2_more_strict_density,339,1,1,False,False,1.0,-1,,1.0,0.07701475042797784
S2_more_strict_density,760,1,1,False,False,1.0,-1,,1.0,0.09868382463585373
S2_more_strict_density,692,2,2,False,False,1.0,-1,,1.0,0.0
S2_more_strict_density,834,1,1,False,False,1.0,-1,,1.0,0.0
S2_more_strict_density,980,2,2,False,False,1.0,-1,,1.0,0.056520893553822296
S2_more_strict_density,800,1,1,False,False,1.0,-1,,1.0,0.15151593502405009
S2_more_strict_density,250,1,1,False,False,1.0,-1,,1.0,0.0
S2_more_strict_density,257,1,1,False,False,1.0,-1,,1.0,0.0
S2_more_strict_density,720,1,1,False,False,1.0,-1,,1.0,0.22008158862692467
S2_more_strict_density,803,1,1,False,False,1.0,-1,,1.0,0.12331828276363183
S2_more_strict_density,369,1,1,False,False,1.0,-1,,1.0,0.019354078552638695
S2_more_strict_density,418,2,2,False,False,1.0,-1,,1.0,0.0
S2_more_strict_density,887,1,1,False,False,1.0,-1,,1.0,0.025773176446596886
S2_more_strict_density,1087,1,1,False,False,1.0,-1,,1.0,0.19232438588325454
S2_more_strict_density,276,-1,4,True,False,0.0,4,0.7815511226654053,0.0,0.04361957706001855
S2_more_strict_density,957,-1,4,True,False,0.0,4,1.2257212400436401,0.0,0.22462928420236228
S2_more_strict_density,502,1,1,False,False,1.0,-1,,1.0,0.0
S2_more_strict_density,914,1,1,False,False,1.0,-1,,1.0,0.0
S2_more_strict_density,889,6,6,False,False,0.6475202025345828,-1,,0.6475202025345828,0.35247979746541724
S2_more_strict_density,508,2,2,False,False,1.0,-1,,1.0,0.027267597890647366
S2_more_strict_density,70,1,1,False,False,1.0,-1,,1.0,0.0
S2_more_strict_density,397,2,2,False,False,0.9793840285251787,-1,,0.9793840285251787,0.020615971474821262
S2_more_strict_density,1088,2,2,False,False,1.0,-1,,1.0,0.0
