cluster,size,mean_prob,median_prob,min_prob,persistence,medoid_shop_id,top_members_shop_id
3,57,0.5906672921486892,0.5001808779810317,0.32252864998480496,0.2936277188222716,66,"590,444,897,596,699"
23,46,0.9169407909745593,0.9687476751695236,0.7800355707489935,0.0747873900682053,109,"11,914,824,1113,422"
6,34,0.919629751577548,0.9211515819223972,0.8023319420173584,0.052047087661511296,505,"505,803,336,226,906"
25,28,0.9507692193847631,1.0,0.8685724457200593,0.0652886708871496,1024,"484,1070,1018,402,1024"
20,27,0.896460913677653,0.9236040728927961,0.6517672425723559,0.17810377447292064,88,"1034,1098,654,88,892"
16,25,0.9018197142889559,0.9052732673947452,0.7165860245395321,0.08189810744639993,976,"976,1031,759,928,792"
11,24,0.8615392954942823,0.9116875786283316,0.5671633734102137,0.1717752864149591,678,"791,206,951,424,1076"
14,23,0.8169228077006985,0.7588782856977039,0.5332285769502958,0.1708667254571281,535,"992,62,624,1058,142"
7,22,0.8867739505230751,1.0,0.47645571321331365,0.3551801385747831,125,"374,834,257,268,959"
5,21,0.9720391408881022,1.0,0.8172788892164604,0.08195330779616257,993,"196,996,438,400,223"
13,21,0.9344283403647915,0.9302661145328098,0.7949359164596554,0.07121218382756307,495,"250,997,50,21,1079"
18,20,0.83855522056292,1.0,0.594177927285118,0.19000556986180925,241,"241,33,515,228,527"
15,18,0.9518997328649559,1.0,0.7934808643210126,0.06395795896488854,926,"486,657,748,784,926"
8,18,0.933617450023974,1.0,0.7047064014227513,0.14802026915417493,446,"980,418,881,570,639"
24,17,0.9915178302851698,1.0,0.966106081598299,0.03619327471157821,112,"34,760,245,107,112"
21,16,0.9585453272397157,1.0,0.7068464187690481,0.2922654944045148,1069,"1069,96,489,322,688"
0,15,0.9456679218754235,1.0,0.3390053597283965,0.3942729689362911,209,"7,453,530,801,110"
10,14,0.9929868146664153,1.0,0.9385052878348923,0.02380282980309636,565,"653,729,565,751,19"
1,14,0.9056418697857184,1.0,0.4434241509839016,0.26566061656438944,664,"1046,652,382,26,814"
19,13,1.0,1.0,1.0,0.08104145539944634,1039,"1039,651,847,166,470"
9,13,0.9984885943206213,1.0,0.9803517261680771,0.13958395203046015,289,"866,521,481,289,411"
2,11,1.0,1.0,1.0,0.00821302034077292,991,"1036,865,799,1005,916"
12,11,1.0,1.0,1.0,0.02592470236219269,764,"591,764,440,404,105"
17,11,1.0,1.0,1.0,0.03862215721208377,1008,"70,344,647,278,768"
22,11,0.999847857025281,1.0,0.9983264272780915,0.03667373305261898,788,"513,163,807,788,531"
4,10,1.0,1.0,1.0,0.10883673088187763,259,"259,353,562,274,733"
