scenario,shop_id,core_cluster,final_cluster,is_outlier_core,is_outlier_final,assign_confidence,nearest_cluster,nearest_dist,cluster_prob_core,outlier_score
S5_high_density_strict,484,2,2,False,False,1.0,-1,,1.0,0.08570836128969796
S5_high_density_strict,6,0,0,False,False,0.5860052305483988,-1,,0.5860052305483988,0.4139947694516012
S5_high_density_strict,65,0,0,False,False,0.4600088016616478,-1,,0.4600088016616478,0.5399911983383522
S5_high_density_strict,333,2,2,False,False,1.0,-1,,1.0,0.021038999343622793
S5_high_density_strict,1036,1,1,False,False,0.9038126184484705,-1,,0.9038126184484705,0.09618738155152949
S5_high_density_strict,409,4,4,False,False,0.7287606234743863,-1,,0.7287606234743863,0.2712393765256137
S5_high_density_strict,1029,0,0,False,False,0.491168942310618,-1,,0.491168942310618,0.508831057689382
S5_high_density_strict,117,1,1,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,907,1,1,False,False,1.0,-1,,1.0,0.08891427048056624
S5_high_density_strict,290,1,1,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,966,1,1,False,False,1.0,-1,,1.0,0.1585094604284571
S5_high_density_strict,1069,0,0,False,False,0.7654385642633584,-1,,0.7654385642633584,0.23456143573664154
S5_high_density_strict,1070,2,2,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,969,3,3,False,False,0.6132053347979401,-1,,0.6132053347979401,0.3867946652020599
S5_high_density_strict,29,1,1,False,False,0.9658852311850019,-1,,0.9658852311850019,0.03411476881499807
S5_high_density_strict,101,2,2,False,False,1.0,-1,,1.0,0.025163980864594225
S5_high_density_strict,11,2,2,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,790,3,3,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,389,2,2,False,False,1.0,-1,,1.0,0.11557655264747184
S5_high_density_strict,496,0,0,False,False,0.34018397788760585,-1,,0.34018397788760585,0.6598160221123942
S5_high_density_strict,590,3,3,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,505,4,4,False,False,0.8367652015958865,-1,,0.8367652015958865,0.16323479840411345
S5_high_density_strict,146,1,1,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,373,4,4,False,False,0.6730953404669908,-1,,0.6730953404669908,0.3269046595330092
S5_high_density_strict,1105,1,1,False,False,1.0,-1,,1.0,0.04674130733755255
S5_high_density_strict,34,2,2,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,66,3,3,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,572,1,1,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,374,2,2,False,False,0.9456090499944052,-1,,0.9456090499944052,0.054390950005594775
S5_high_density_strict,742,1,1,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,323,3,3,False,False,0.7482559218374029,-1,,0.7482559218374029,0.25174407816259714
S5_high_density_strict,241,1,1,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,866,4,4,False,False,0.8778989356877913,-1,,0.8778989356877913,0.1221010643122087
S5_high_density_strict,96,0,0,False,False,0.7654385642633584,-1,,0.7654385642633584,0.23456143573664154
S5_high_density_strict,339,4,4,False,False,0.7211608699451069,-1,,0.7211608699451069,0.2788391300548931
S5_high_density_strict,760,2,2,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,692,1,1,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,834,2,2,False,False,0.9456090499944052,-1,,0.9456090499944052,0.054390950005594775
S5_high_density_strict,980,1,1,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,800,-1,3,True,False,0.1862919773282632,3,0.6666623950004578,0.0,0.15151593502405009
S5_high_density_strict,250,4,4,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,257,2,2,False,False,0.9456090499944052,-1,,0.9456090499944052,0.054390950005594775
S5_high_density_strict,720,2,2,False,False,0.6873981414710121,-1,,0.6873981414710121,0.3126018585289879
S5_high_density_strict,803,4,4,False,False,0.684982289977339,-1,,0.684982289977339,0.315017710022661
S5_high_density_strict,369,3,3,False,False,0.9806459214473613,-1,,0.9806459214473613,0.019354078552638695
S5_high_density_strict,418,1,1,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,887,4,4,False,False,0.7611977156984969,-1,,0.7611977156984969,0.23880228430150308
S5_high_density_strict,1087,2,2,False,False,1.0,-1,,1.0,0.09768709979836429
S5_high_density_strict,276,0,0,False,False,0.5860052305483988,-1,,0.5860052305483988,0.4139947694516012
S5_high_density_strict,957,0,0,False,False,0.34018397788760585,-1,,0.34018397788760585,0.6598160221123942
S5_high_density_strict,502,4,4,False,False,0.7813352058220877,-1,,0.7813352058220877,0.21866479417791232
S5_high_density_strict,914,2,2,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,889,0,0,False,False,0.7950568710333248,-1,,0.7950568710333248,0.2049431289666752
S5_high_density_strict,508,1,1,False,False,1.0,-1,,1.0,0.027267597890647366
S5_high_density_strict,70,2,2,False,False,0.8813718607576171,-1,,0.8813718607576171,0.11862813924238291
S5_high_density_strict,397,1,1,False,False,0.9793840285251787,-1,,0.9793840285251787,0.020615971474821262
S5_high_density_strict,1088,1,1,False,False,1.0,-1,,1.0,0.02433214288758081
S5_high_density_strict,865,1,1,False,False,1.0,-1,,1.0,0.24419143189344342
S5_high_density_strict,1046,0,0,False,False,0.4387372013884384,-1,,0.4387372013884384,0.5612627986115616
S5_high_density_strict,642,1,1,False,False,1.0,-1,,1.0,0.0
S5_high_density_strict,653,1,1,False,False,1.0,-1,,1.0,0.0
