cluster,size,mean_prob,median_prob,min_prob,persistence,medoid_shop_id,top_members_shop_id
1,303,0.9936570877754812,1.0,0.5786195307444085,0.13937103902259707,1060,"1096,966,967,970,973"
4,140,0.9887031961365098,1.0,0.6958372204052224,0.11235595115031569,133,"5,6,17,18,26"
8,59,0.9167770581088633,1.0,0.5718382822729124,0.21608794005345214,1083,"66,56,202,188,337"
14,40,0.9973170533399014,1.0,0.9755383001752075,0.026399533960047374,34,"34,104,107,112,175"
12,32,0.8892748895471487,0.8879784756572834,0.791500275126632,0.04838156463901276,849,"4,31,464,321,484"
5,30,0.7533602285762925,0.8221149836869339,0.4080125702980107,0.3177746908390364,360,"125,236,222,257,374"
19,25,0.9707882704137941,0.9759157894678046,0.855171528971458,0.06335109465010162,911,"101,585,377,355,911"
11,24,0.961823188376648,1.0,0.7974185032052858,0.08307140325818271,666,"45,111,350,289,394"
16,23,0.8929519255805534,0.8091683029530082,0.7766816288247358,0.06653579219951122,297,"16,105,294,757,591"
18,17,0.9398278972854802,1.0,0.769100194026158,0.16772323468887476,447,"103,116,134,148,237"
13,16,0.9989439636443272,1.0,0.9915517091546179,0.003002349782815189,602,"120,160,226,247,336"
2,16,0.7042339734279905,1.0,0.14950180909190097,0.5805670982167196,209,"209,122,453,299,931"
15,15,0.9699838656892894,1.0,0.8249648695555853,0.20003521237107552,57,"57,312,250,242,368"
9,15,0.9579545956163453,1.0,0.7063198550742966,0.1367950474031725,300,"130,140,300,311,537"
0,13,0.9021135561024843,1.0,0.1867035808522108,0.592878547047666,353,"259,262,274,353,562"
17,12,1.0,1.0,1.0,0.020181758359449496,340,"53,73,212,278,315"
7,12,0.9984650863947913,1.0,0.9815810367374957,0.01650372406042159,517,"2,207,292,310,452"
10,12,0.9697551535296937,1.0,0.7853012672631517,0.15921325923110385,1008,"118,367,576,647,768"
6,11,0.9937934842200131,1.0,0.9317283264201437,0.09853668935297286,359,"49,61,158,194,280"
3,11,0.9860099413649034,1.0,0.8461093550139378,0.23561552951280998,44,"44,185,439,496,662"
