timestamp,p10,median,p90
2015-07-02,5677.7974,6738.319,7828.536
2015-07-03,5234.235,6292.995,7365.5244
2015-07-04,4196.46,5235.929,6268.4033
2015-07-05,-1163.9517,-486.78516,327.7959
2015-07-06,5006.318,5911.9346,6856.9727
2015-07-07,4670.269,5445.3076,6250.0728
2015-07-08,4552.025,5226.3115,5992.033
2015-07-09,4666.016,5339.627,6115.178
2015-07-10,5020.024,5741.1606,6490.944
2015-07-11,4698.389,5451.4814,6207.6016
2015-07-12,122.572754,671.0078,1338.7395
2015-07-13,6069.512,6813.669,7761.677
2015-07-14,5632.2734,6380.9604,7149.4365
2015-07-15,5381.13,6091.4043,6818.4976
2015-07-16,4660.0728,5337.5923,6057.2515
2015-07-17,4639.31,5364.2686,6093.7705
2015-07-18,3252.4155,4027.8398,4734.8296
2015-07-19,-1171.2603,-600.0112,-149.80078
2015-07-20,4563.391,5234.79,5836.5996
2015-07-21,4054.9468,4726.1465,5331.1562
2015-07-22,4086.4446,4778.6436,5492.4834
2015-07-23,4007.8232,4781.54,5502.7495
2015-07-24,4989.1646,5813.7295,6684.0806
2015-07-25,4831.7456,5829.342,6865.3145
2015-07-26,351.37158,923.0354,1724.6555
2015-07-27,6680.0283,7830.408,9171.934
2015-07-28,6247.6543,7364.9756,8687.45
2015-07-29,5679.894,6880.415,8243.346
2015-07-30,5068.1147,6386.821,7709.711
2015-07-31,5323.3677,6542.0576,7855.6465
