timestamp,p10,median,p90
2015-05-03,-691.0342,97.54199,940.4719
2015-05-04,6562.0156,7397.06,8351.885
2015-05-05,5548.026,6311.917,7105.2314
2015-05-06,5304.7656,6055.405,6842.9824
2015-05-07,4897.237,5622.412,6408.5815
2015-05-08,5062.5723,5768.682,6531.4375
2015-05-09,2569.7646,3247.5784,3966.2517
2015-05-10,-496.4829,202.78735,1078.1597
2015-05-11,4831.063,5564.7046,6398.865
2015-05-12,4041.4482,4858.2627,5707.484
2015-05-13,3423.3643,4291.8164,5230.1763
2015-05-14,-1019.44385,-80.00195,923.17065
2015-05-15,3899.2046,4688.1333,5513.7427
2015-05-16,2634.402,3384.501,4181.0356
2015-05-17,-844.5112,-87.32178,782.3684
2015-05-18,6067.153,6941.6953,7777.2173
2015-05-19,5295.907,6012.246,6785.689
2015-05-20,4836.0425,5546.6436,6252.1543
2015-05-21,5107.9536,5830.1675,6550.5537
2015-05-22,5203.0015,5953.8545,6727.5557
2015-05-23,2373.6511,3267.6738,4117.015
2015-05-24,-775.6011,125.81152,1031.6741
2015-05-25,-521.104,539.7378,1795.2761
2015-05-26,4450.6484,5503.922,6564.052
2015-05-27,3443.0225,4339.2095,5353.8477
2015-05-28,3931.9402,4781.9263,5655.524
2015-05-29,3782.851,4575.62,5417.573
2015-05-30,3025.495,3855.3938,4655.983
2015-05-31,-465.00732,293.23706,1116.3926
2015-06-01,7166.6562,8091.9575,9010.918
2015-06-02,5606.769,6378.7666,7154.9165
2015-06-03,5122.9985,5840.591,6563.3545
2015-06-04,5504.5234,6092.639,6718.044
2015-06-05,4977.3467,5591.876,6220.8223
2015-06-06,2368.6633,2953.6567,3548.5476
2015-06-07,-695.0708,-92.88379,533.83984
2015-06-08,4170.734,4745.1216,5338.381
2015-06-09,3756.2693,4261.7896,4868.219
2015-06-10,3327.6792,3851.122,4450.0063
2015-06-11,3686.7083,4208.0864,4780.34
2015-06-12,3394.7227,3866.5344,4388.13
2015-06-13,2921.7502,3477.009,4011.4878
2015-06-14,-577.26465,-0.14697266,592.1443
2015-06-15,6895.1655,7592.802,8310.196
2015-06-16,5641.8335,6191.6357,6766.289
2015-06-17,5432.393,5969.3936,6510.0586
2015-06-18,5076.2905,5598.917,6171.0537
2015-06-19,4756.7046,5280.872,5834.8535
2015-06-20,2022.4612,2555.8274,3091.117
2015-06-21,-495.24854,63.121094,657.4553
2015-06-22,4042.0261,4606.7373,5183.259
2015-06-23,3719.2405,4231.797,4793.383
2015-06-24,3082.1309,3643.4456,4304.464
2015-06-25,3438.3594,4003.9897,4706.298
2015-06-26,3697.4734,4336.472,5063.5044
2015-06-27,2860.7603,3637.72,4486.4995
2015-06-28,-331.23486,276.62598,963.0652
2015-06-29,7348.034,8216.403,9241.498
2015-06-30,5799.6562,6442.0566,7225.012
2015-07-01,5504.055,6120.7505,6804.453
2015-07-02,5253.9316,5817.7173,6397.4434
2015-07-03,5170.8447,5731.7676,6303.9023
2015-07-04,2133.9624,2611.833,3225.9478
2015-07-05,-442.29443,111.21094,707.54126
2015-07-06,4430.1284,4899.0347,5476.591
2015-07-07,4014.9683,4498.985,5077.233
2015-07-08,3299.0767,3820.3384,4311.5293
2015-07-09,3659.8357,4137.5947,4617.6494
2015-07-10,3507.5112,4007.7354,4538.91
2015-07-11,2814.3655,3372.7075,3925.12
2015-07-12,-479.40674,116.50513,749.4258
2015-07-13,6437.203,7120.3447,7959.9727
2015-07-14,5205.147,5764.6987,6415.713
2015-07-15,4870.047,5405.6196,6027.9897
2015-07-16,4649.3643,5164.3335,5765.2803
2015-07-17,4528.668,5068.2344,5630.7764
2015-07-18,1808.3245,2345.4636,2919.3716
2015-07-19,-515.83545,53.293457,631.07935
2015-07-20,4146.87,4740.794,5353.7173
2015-07-21,3594.2588,4122.6753,4647.6167
2015-07-22,2987.871,3497.7832,4052.377
2015-07-23,3096.7344,3639.6843,4150.018
2015-07-24,3391.1836,3922.107,4435.0215
2015-07-25,2619.3857,3183.2292,3796.7214
2015-07-26,-738.1294,-81.01611,661.8501
2015-07-27,6789.6523,7595.4414,8528.365
2015-07-28,5782.0366,6531.838,7420.3027
2015-07-29,5370.749,6151.665,7018.1724
2015-07-30,5141.215,5916.048,6848.259
2015-07-31,5067.484,5890.659,6786.75
