timestamp,p10,median,p90
2015-07-02,7712.0225,8412.139,9091.922
2015-07-03,6858.524,7571.2793,8291.331
2015-07-04,1481.5999,2112.4385,2799.9714
2015-07-05,-408.65234,170.34766,789.85547
2015-07-06,5068.928,5752.9775,6422.405
2015-07-07,5125.531,5737.5684,6393.333
2015-07-08,4497.7363,5120.3276,5810.663
2015-07-09,4881.0,5509.46,6146.03
2015-07-10,4981.9795,5636.6895,6318.18
2015-07-11,2155.147,2834.63,3548.841
2015-07-12,-71.28027,474.7207,1059.6558
2015-07-13,9464.385,10354.761,11075.924
2015-07-14,8802.925,9572.766,10379.499
2015-07-15,7436.675,8169.6846,8897.541
2015-07-16,6994.238,7705.133,8472.598
2015-07-17,6246.311,6954.392,7713.4795
2015-07-18,1242.3623,1830.1948,2444.0103
2015-07-19,-203.51514,333.69238,894.98193
2015-07-20,5275.044,6029.942,6754.9995
2015-07-21,5040.5146,5772.245,6487.868
2015-07-22,4240.212,4924.0303,5673.5293
2015-07-23,4278.14,4945.3906,5582.4087
2015-07-24,4306.7744,5026.701,5754.393
2015-07-25,1655.0913,2314.32,3139.8604
2015-07-26,-231.72266,287.4497,898.2031
2015-07-27,9570.889,10568.928,11567.215
2015-07-28,8310.115,9338.499,10499.411
2015-07-29,6848.5425,7955.007,9048.284
2015-07-30,6800.841,7915.108,9012.363
2015-07-31,6737.5728,7956.7324,9267.9375
