timestamp,p10,median,p90
2015-07-02,5797.8555,6628.008,7736.119
2015-07-03,5844.8027,6707.7896,7918.792
2015-07-04,4856.567,5664.697,6702.8833
2015-07-05,-718.0552,-155.13916,673.7925
2015-07-06,4582.2124,5338.1514,6182.9307
2015-07-07,4398.2676,5059.093,5852.0347
2015-07-08,4426.737,5064.6255,5866.4087
2015-07-09,4723.8535,5388.2656,6188.776
2015-07-10,5320.416,5952.326,6698.4883
2015-07-11,5548.627,6212.0376,7049.9004
2015-07-12,-14.255371,506.91895,1205.8721
2015-07-13,6343.0645,7045.169,8132.0547
2015-07-14,5684.9795,6390.37,7273.2207
2015-07-15,5497.183,6197.5674,7099.584
2015-07-16,4600.0806,5298.3037,6195.204
2015-07-17,5481.685,6208.782,7215.165
2015-07-18,4367.8677,4978.133,5691.791
2015-07-19,-502.3496,-32.969727,471.37988
2015-07-20,4262.03,4895.6006,5530.459
2015-07-21,3830.1409,4454.7383,5119.7773
2015-07-22,4108.946,4759.347,5494.925
2015-07-23,3714.9597,4365.201,5014.9346
2015-07-24,5077.324,5794.6436,6702.879
2015-07-25,5191.6973,6022.947,7084.583
2015-07-26,-167.61426,299.64258,1108.5996
2015-07-27,7231.3926,8419.284,10281.309
2015-07-28,6497.6567,7590.2256,9428.137
2015-07-29,5974.343,7103.4014,8990.162
2015-07-30,5384.0303,6581.5547,8447.277
2015-07-31,6481.862,7831.485,9987.488
