timestamp,p10,median,p90
2015-07-02,4206.8237,4843.6616,5556.1924
2015-07-03,4551.9697,5218.508,6018.0205
2015-07-04,1424.1119,1900.6759,2438.0132
2015-07-05,-310.10107,73.55713,505.3501
2015-07-06,2890.1099,3338.7126,3851.969
2015-07-07,2496.7935,2897.5034,3289.7478
2015-07-08,2432.6167,2814.079,3217.131
2015-07-09,2621.0376,3021.3606,3413.89
2015-07-10,2882.076,3263.3777,3678.3774
2015-07-11,1987.1644,2466.775,2936.2136
2015-07-12,-159.2124,238.4856,738.4529
2015-07-13,5888.4287,6720.827,7802.6035
2015-07-14,4687.006,5314.1865,6099.5283
2015-07-15,4208.418,4780.386,5507.581
2015-07-16,3738.089,4245.6953,4860.4395
2015-07-17,4252.1084,4797.749,5488.159
2015-07-18,1432.061,1781.693,2186.8193
2015-07-19,-23.494385,305.55835,634.56934
2015-07-20,3075.6606,3501.9285,3890.5579
2015-07-21,2547.0386,2942.2346,3339.2612
2015-07-22,2373.0254,2772.7869,3170.3726
2015-07-23,2300.5864,2736.8147,3122.9941
2015-07-24,2696.323,3169.5876,3693.6487
2015-07-25,1729.6438,2246.5474,2849.0017
2015-07-26,-168.42847,192.06494,693.1555
2015-07-27,6105.696,7156.0986,8594.559
2015-07-28,4687.9106,5596.629,6856.951
2015-07-29,4314.548,5140.144,6187.893
2015-07-30,3912.1526,4648.651,5513.491
2015-07-31,4432.7485,5304.4043,6367.043
