timestamp,p10,median,p90
2015-07-02,4857.368,6076.5137,7353.9316
2015-07-03,4130.4883,5189.2163,6330.55
2015-07-04,3167.0366,4185.9277,5320.068
2015-07-05,-1060.1953,-283.8672,607.1626
2015-07-06,4333.903,5616.669,6883.652
2015-07-07,3122.195,4173.1895,5270.6836
2015-07-08,2899.293,3809.418,4745.5103
2015-07-09,3370.8591,4247.228,5129.8633
2015-07-10,3904.0452,4839.874,5754.34
2015-07-11,3485.0017,4364.2085,5203.0625
2015-07-12,37.280273,616.92017,1341.2834
2015-07-13,5716.26,6738.1055,7970.0825
2015-07-14,4465.482,5283.874,6176.7217
2015-07-15,3887.607,4664.1987,5470.1104
2015-07-16,3701.8455,4404.2095,5096.258
2015-07-17,3559.5186,4303.701,5032.656
2015-07-18,1991.8896,2804.2512,3612.2585
2015-07-19,-1240.4175,-593.0415,31.909424
2015-07-20,4542.696,5394.1943,6330.3457
2015-07-21,2937.5872,3881.4697,4801.9585
2015-07-22,3081.5518,3931.5352,4805.6035
2015-07-23,2922.3286,3818.322,4573.7017
2015-07-24,4142.6177,5127.045,6099.575
2015-07-25,3646.772,4772.5405,5936.611
2015-07-26,177.39844,818.1914,1847.6101
2015-07-27,5949.634,7541.4097,9164.197
2015-07-28,4980.662,6412.7363,8039.9414
2015-07-29,3932.1929,5389.2812,6894.4204
2015-07-30,3735.235,5122.617,6521.748
2015-07-31,3938.9377,5422.317,6992.119
