timestamp,p10,median,p90
2015-07-02,5676.3086,6531.226,7343.534
2015-07-03,5207.0806,6067.885,6902.997
2015-07-04,4297.8486,5179.2554,6015.5215
2015-07-05,-1032.148,-377.04395,356.06006
2015-07-06,4628.6973,5450.9717,6212.978
2015-07-07,4025.182,4727.9014,5460.2437
2015-07-08,3929.7188,4575.6494,5287.3247
2015-07-09,4563.037,5209.4556,5875.5845
2015-07-10,5147.934,5790.5864,6421.98
2015-07-11,4664.1436,5377.6475,6031.45
2015-07-12,196.55371,734.4133,1374.9639
2015-07-13,6218.6123,6896.05,7710.107
2015-07-14,5566.717,6306.436,7011.585
2015-07-15,4674.683,5408.3994,6126.26
2015-07-16,4598.7773,5278.4595,5979.005
2015-07-17,4685.9775,5360.3984,6038.194
2015-07-18,3330.2178,4019.0845,4698.265
2015-07-19,-1217.7642,-676.70605,-194.15283
2015-07-20,4548.523,5229.8687,5861.1455
2015-07-21,3874.2234,4533.217,5193.825
2015-07-22,3678.8464,4331.1167,5077.4536
2015-07-23,4136.21,4829.1714,5586.3477
2015-07-24,5013.6714,5753.4326,6551.0723
2015-07-25,4469.5054,5316.6997,6260.9883
2015-07-26,39.813965,556.71924,1274.0398
2015-07-27,6569.5176,7647.782,8848.643
2015-07-28,5788.9307,6850.0864,8051.8184
2015-07-29,4979.0493,6050.6045,7138.64
2015-07-30,4967.8037,6065.274,7116.879
2015-07-31,5301.4395,6342.581,7433.9434
