timestamp,p10,median,p90
2015-07-02,3806.147,4261.5596,4722.4053
2015-07-03,3912.189,4357.3364,4842.758
2015-07-04,1996.757,2504.938,2978.3987
2015-07-05,-618.04297,-281.9878,123.85205
2015-07-06,3639.203,4053.402,4509.2905
2015-07-07,3443.84,3831.1196,4227.2656
2015-07-08,3083.3918,3429.256,3823.2092
2015-07-09,3410.3374,3765.4844,4153.753
2015-07-10,3819.129,4172.917,4550.545
2015-07-11,2567.6565,2929.9712,3324.9146
2015-07-12,-41.254395,238.48145,573.53784
2015-07-13,4349.6157,4724.3965,5197.267
2015-07-14,4044.9458,4418.2773,4794.3784
2015-07-15,3826.6882,4180.6914,4549.249
2015-07-16,3320.5374,3672.4548,4028.1636
2015-07-17,3674.4036,4046.9468,4443.494
2015-07-18,1722.267,2106.394,2505.3462
2015-07-19,-557.397,-258.76587,17.84082
2015-07-20,3533.9358,3899.4885,4241.6577
2015-07-21,3268.6926,3632.1006,4007.4563
2015-07-22,2949.4148,3333.3718,3735.289
2015-07-23,3044.3848,3430.772,3854.1267
2015-07-24,3708.338,4141.092,4608.492
2015-07-25,2576.2656,3092.8252,3630.0513
2015-07-26,124.781494,437.9812,846.8772
2015-07-27,4762.848,5368.02,6053.539
2015-07-28,4259.481,4821.746,5488.301
2015-07-29,4159.1025,4717.578,5349.1772
2015-07-30,3798.9595,4344.885,4915.4644
2015-07-31,4144.806,4719.1675,5374.343
