p10,median,p90
4392.2656,4857.026,5319.9067
4443.2114,4926.7056,5400.8203
4484.1294,4928.5137,5413.555
-683.01807,-215.7085,370.92896
3822.9158,4307.138,4806.59
3631.0269,4113.831,4555.727
3416.7085,3881.5552,4362.0786
3142.925,3632.353,4145.815
3236.7634,3746.3484,4227.991
4202.8516,4603.2266,5057.7803
-250.44678,185.03247,608.59814
4470.261,4872.243,5338.9214
4396.668,4818.972,5260.6157
4014.0266,4461.7563,4898.2373
3471.602,3990.7646,4522.5312
3927.049,4411.408,4906.413
3974.5662,4418.9575,4879.475
-395.44385,79.103516,548.8074
3031.9758,3545.164,4027.0247
3146.928,3630.9595,4102.522
2643.321,3158.1416,3671.7314
2808.1035,3287.729,3685.9004
2915.5422,3401.8782,3898.9954
4264.462,4734.1416,5241.965
-367.91357,16.45337,507.3108
4940.7007,5480.3657,6014.84
5003.5566,5539.648,6165.9604
4757.5327,5355.333,6048.7065
4499.032,5185.0283,5928.3555
4540.686,5302.63,6047.8823
