p10,median,p90
-1228.5903,334.56348,700.8806
-1646.4941,70.81152,527.5039
-1974.4219,-83.42822,410.30566
-2257.1133,-280.53613,215.55225
-2477.6357,-423.35986,150.81445
-2597.8672,-468.9795,53.493652
-2512.0776,-433.79053,117.18848
-2576.5322,-478.88135,59.855957
-2429.942,-409.76953,105.15283
-2476.4878,-480.48096,35.751465
-2476.3013,-406.13818,120.70801
-2533.9038,-385.84766,141.34668
-2434.7861,-265.96875,266.38477
-2524.623,-278.31396,271.08545
-2547.6445,-284.6162,267.8745
-2444.8716,-221.88818,302.7002
-3434.229,-981.40967,-400.36133
-3535.9556,-1003.6953,-401.8584
-3346.6577,-860.23096,-271.28027
-3307.7793,-873.93066,-332.74023
-3162.9575,-809.97363,-217.06787
-3423.5522,-1025.6245,-461.23145
-2991.021,-765.897,-198.75781
-2977.8599,-763.86865,-205.99414
-2831.7046,-641.83154,-97.81885
-2580.0728,-539.1377,17.566406
-2562.2495,-453.58398,102.16797
-3046.1548,-732.7998,-146.22559
-2965.9678,-676.86035,-72.88428
-3377.189,-980.88477,-366.95312
