p10,median,p90
5249.161,5939.4536,6723.83
4790.6543,5475.559,6267.851
2282.2734,2841.1978,3506.7732
-666.7783,-105.64795,546.7864
3757.5059,4297.225,4963.023
3796.0208,4272.305,4818.0127
4066.2654,4548.0815,5155.6055
3240.1052,3734.9824,4241.4575
2945.0564,3434.0022,3912.8914
2480.8926,3046.7534,3675.7896
-254.18408,306.55005,1167.9744
6433.6685,7429.5527,8910.775
6032.7915,6952.342,8282.396
5866.5415,6886.2773,8323.48
4821.842,5637.645,6893.3086
4500.414,5465.8916,6716.2686
2166.054,2767.374,3423.208
-173.25,353.24634,962.8352
4014.553,4623.532,5313.1797
3834.9077,4388.03,5042.0757
3918.2756,4452.9614,5088.416
3224.7808,3720.533,4226.944
2913.9365,3438.6555,3992.5403
2347.6338,2871.1372,3514.3997
-420.45508,40.066895,759.96606
6372.507,7515.1562,9082.079
5882.379,7054.6123,8728.55
5737.4634,6941.784,8610.957
4830.226,5937.8076,7550.514
4458.9844,5608.181,7247.841
