p10,median,p90
3886.9038,7002.887,10295.817
4454.185,7216.1377,10365.122
3825.7935,6625.3467,9553.686
-2192.207,-630.5996,1687.4106
4852.1606,7287.2666,10022.662
4822.9688,7146.836,9848.537
4634.1787,6964.6694,9590.35
4159.9385,6513.1978,9015.402
4765.942,7011.1562,9579.121
4299.3936,6565.891,9040.645
-1332.0234,83.57031,2474.0054
5322.21,7937.8843,10946.574
5244.3433,7900.1064,11029.754
4753.082,7681.0664,10829.872
4303.2314,7161.353,10297.479
4627.1016,7355.016,10349.461
3932.8757,6472.44,8965.952
-1807.5352,-291.7046,1721.269
4892.0537,7637.8643,10594.771
4896.0225,7536.8105,10438.506
4660.666,7242.0356,10133.983
4443.2275,7055.1104,9828.383
4586.807,7184.8506,9897.824
4101.6465,6697.3545,9354.111
-1727.543,-229.28857,1927.2275
4750.494,7758.089,11032.711
4775.5166,7731.3457,11061.715
4305.8247,7459.802,10746.709
4227.1313,7205.6523,10560.648
4287.9404,7434.3696,10450.75
