p10,median,p90
5514.6514,6499.0703,7549.8438
5728.9316,6673.952,7794.592
4066.1436,4820.5874,5693.381
-522.22314,108.379395,855.699
3312.984,4095.3765,4940.6025
3055.7358,3789.5083,4522.621
2782.2463,3425.083,4177.0537
3068.5103,3765.6416,4423.978
3414.5854,4057.2073,4719.9985
4670.976,5405.7495,6176.429
-242.31445,336.29346,1053.1064
7213.333,8265.201,9489.634
5897.079,6781.373,7783.3545
5356.9355,6223.955,7258.1206
4948.614,5778.3584,6787.1436
5529.198,6393.3564,7451.922
3985.1704,4665.1426,5404.8013
74.38281,616.13135,1220.4626
3726.4656,4387.7075,4997.9336
3797.0054,4407.4736,5049.859
3084.2207,3753.8752,4493.6455
2771.0374,3548.045,4291.9272
3440.143,4384.579,5334.6377
4597.737,5457.0605,6549.479
-647.7363,-99.694336,672.4917
7320.408,8662.321,10345.297
5893.155,7186.8096,8873.436
5264.3906,6612.9326,8189.0234
4929.963,6231.6074,7685.657
5561.759,6905.076,8514.879
