p10,median,p90
595.375,5111.5078125,16077.3828125
252.77001953125,4848.6708984375,15641.88671875
211.26318359375,5151.37646484375,17285.435546875
76.49951171875,4864.41259765625,16272.853515625
-152.05810546875,4477.314453125,15272.681640625
-158.69482421875,4745.81640625,16403.4921875
67.4443359375,5510.9521484375,21319.98828125
230.9736328125,5797.431640625,22160.2890625
145.66162109375,5301.19384765625,19255.419921875
35.55078125,5498.63330078125,19209.693359375
-229.11572265625,4795.3046875,16713.673828125
-335.47802734375,4778.4296875,16190.73046875
-328.330078125,4813.51611328125,16105.2421875
-411.92431640625,4934.3505859375,17201.5546875
-552.8232421875,4609.18017578125,17392.95703125
-44.5751953125,6061.373046875,24879.4765625
-1177.5810546875,5043.80126953125,19060.486328125
-1126.00439453125,5053.53759765625,18772.724609375
-1233.65380859375,5440.02734375,19818.861328125
-1298.40869140625,5215.90380859375,20293.662109375
-1582.89306640625,4634.69921875,18167.025390625
-1789.40087890625,4480.4990234375,17709.23828125
-1667.77392578125,4893.1279296875,20636.501953125
-1593.49658203125,5219.29296875,21959.5078125
-1617.27978515625,5511.94384765625,24398.498046875
-1666.63232421875,4977.0732421875,20771.927734375
-1827.54345703125,4773.521484375,19565.16796875
-1992.84912109375,4629.2060546875,18500.490234375
-1946.49658203125,4664.2412109375,18786.470703125
-2061.89990234375,4920.9306640625,21188.416015625
