p10,median,p90
9842.953,11320.594,13336.1875
10082.705,11611.547,13777.248
8885.197,10491.326,12474.034
-1703.5068,-584.1543,1281.7168
9490.493,10795.295,12574.972
8829.676,10157.479,11827.096
8577.198,9813.2295,11428.031
8344.539,9624.198,11293.229
9097.088,10323.947,11957.132
8630.143,9895.382,11482.23
-534.5879,496.73096,1999.1499
9769.369,11082.306,12982.461
9525.498,10879.075,12729.213
8719.11,10100.277,11910.22
8676.447,10042.592,11832.695
9056.304,10436.643,12331.953
7729.4106,8974.29,10539.477
-1400.998,-258.28125,1194.9883
8600.709,9971.926,11796.217
8076.7173,9516.369,11323.524
7231.658,8540.233,10300.578
7909.108,9355.786,11191.408
8754.666,10199.879,12137.674
8409.153,10000.0205,12113.003
-342.29395,627.97314,2362.251
10338.263,12322.024,15071.992
10100.446,11932.922,14807.708
9450.72,11478.337,14471.115
9717.056,11811.521,14951.299
9700.611,11940.453,15308.021
