timestamp,p10,median,p90
2015-07-02,7344.044,8424.01,9590.0
2015-07-03,7667.619,8764.208,10109.6045
2015-07-04,6769.978,7847.039,9065.62
2015-07-05,-1252.9526,-248.27002,1121.6821
2015-07-06,6760.3325,7738.036,8911.221
2015-07-07,6084.684,7083.496,8194.606
2015-07-08,6092.1533,7071.115,8190.6743
2015-07-09,4882.7773,5962.3027,7162.239
2015-07-10,6136.4697,7173.056,8289.26
2015-07-11,6774.074,7781.0117,8915.434
2015-07-12,-617.2988,377.61865,1572.6309
2015-07-13,8120.329,9159.449,10448.178
2015-07-14,7649.1016,8700.329,9952.14
2015-07-15,7447.8896,8522.438,9734.03
2015-07-16,6705.839,7806.866,9039.492
2015-07-17,7361.9062,8436.308,9683.172
2015-07-18,6506.8037,7427.082,8513.651
2015-07-19,-272.9204,638.9663,1751.9844
2015-07-20,6537.2363,7539.422,8674.013
2015-07-21,5733.3696,6785.4595,8000.9697
2015-07-22,5592.8135,6626.0864,7738.6885
2015-07-23,5068.5,6057.4116,7093.363
2015-07-24,6073.271,7061.439,8213.188
2015-07-25,6792.5815,7843.305,9084.91
2015-07-26,-457.59033,344.8916,1529.1611
2015-07-27,8624.455,9902.58,11645.201
2015-07-28,7864.924,9132.215,10842.494
2015-07-29,7424.2456,8852.973,10582.555
2015-07-30,7058.6714,8577.7705,10404.526
2015-07-31,7361.718,8959.329,10829.285
