timestamp,y_true,Open,Promo,SchoolHoliday,StateHoliday,DayOfWeek,Customers,is_closed,promo_when_closed
2015-07-02,7572.0,1.0,1.0,1.0,0,4.0,1155.0,0,0
2015-07-03,7699.0,1.0,1.0,1.0,0,5.0,1134.0,0,0
2015-07-04,4652.0,1.0,0.0,0.0,0,6.0,736.0,0,0
2015-07-05,0.0,0.0,0.0,0.0,0,7.0,0.0,1,0
2015-07-06,7051.0,1.0,0.0,1.0,0,1.0,1090.0,0,0
2015-07-07,6669.0,1.0,0.0,1.0,0,2.0,1019.0,0,0
2015-07-08,6044.0,1.0,0.0,1.0,0,3.0,968.0,0,0
2015-07-09,6142.0,1.0,0.0,1.0,0,4.0,969.0,0,0
2015-07-10,6298.0,1.0,0.0,1.0,0,5.0,995.0,0,0
2015-07-11,4922.0,1.0,0.0,0.0,0,6.0,767.0,0,0
2015-07-12,0.0,0.0,0.0,0.0,0,7.0,0.0,1,0
2015-07-13,8680.0,1.0,1.0,1.0,0,1.0,1193.0,0,0
2015-07-14,8600.0,1.0,1.0,1.0,0,2.0,1153.0,0,0
2015-07-15,8189.0,1.0,1.0,1.0,0,3.0,1122.0,0,0
2015-07-16,7429.0,1.0,1.0,1.0,0,4.0,1092.0,0,0
2015-07-17,7100.0,1.0,1.0,1.0,0,5.0,987.0,0,0
2015-07-18,4945.0,1.0,0.0,0.0,0,6.0,774.0,0,0
2015-07-19,0.0,0.0,0.0,0.0,0,7.0,0.0,1,0
2015-07-20,7082.0,1.0,0.0,1.0,0,1.0,1075.0,0,0
2015-07-21,6142.0,1.0,0.0,1.0,0,2.0,943.0,0,0
2015-07-22,6476.0,1.0,0.0,1.0,0,3.0,971.0,0,0
2015-07-23,5603.0,1.0,0.0,1.0,0,4.0,909.0,0,0
2015-07-24,5527.0,1.0,0.0,1.0,0,5.0,926.0,0,0
2015-07-25,4214.0,1.0,0.0,0.0,0,6.0,631.0,0,0
2015-07-26,0.0,0.0,0.0,0.0,0,7.0,0.0,1,0
2015-07-27,8673.0,1.0,1.0,1.0,0,1.0,1170.0,0,0
2015-07-28,8108.0,1.0,1.0,1.0,0,2.0,1086.0,0,0
2015-07-29,7529.0,1.0,1.0,1.0,0,3.0,1047.0,0,0
2015-07-30,8478.0,1.0,1.0,1.0,0,4.0,1140.0,0,0
2015-07-31,11530.0,1.0,1.0,1.0,0,5.0,1372.0,0,0
