p10,median,p90
-112.61987,418.833,1330.5347
4939.8745,5673.443,6919.199
4292.3994,4977.299,5992.174
4316.9277,5035.1226,6134.8037
4012.4634,4662.5566,5748.237
4199.1006,4819.7593,5852.898
4088.7756,4695.292,5653.1562
-282.56787,195.54883,1154.6509
3455.4685,4027.326,5011.416
3210.0833,3857.1184,4932.3833
3304.7773,3959.6174,5073.365
-1365.0996,-752.5117,527.2163
3656.9812,4376.4434,5501.343
4116.9785,4812.0737,5980.929
-430.36426,84.798584,1197.6533
4481.3594,5161.9097,6421.1973
4191.0635,4826.806,5854.7383
4187.9434,4829.0,5896.0444
4226.372,4871.089,6020.2666
4248.0605,4924.172,6160.521
4083.6802,4796.863,6237.794
-516.3662,113.67871,1520.7065
-1779.583,-919.76465,772.11523
2973.3481,3957.3943,5689.692
3247.1528,4067.3367,5749.034
3548.9067,4332.2275,5941.634
3472.1504,4209.8765,5796.729
5043.043,6007.089,8013.625
-437.5547,251.42212,1891.2864
5006.07,6036.3335,7973.622
4725.746,5650.496,7449.946
4796.042,5584.0693,7338.921
-758.64795,409.87158,4440.604
4214.239,5296.919,7727.3984
4326.4287,5123.357,6948.217
-497.58057,60.644775,1378.5332
3606.521,4210.235,5273.6895
2979.3438,3485.857,4324.776
2853.476,3373.5217,4141.4077
2940.7603,3454.14,4142.76
3306.5354,3777.2192,4411.46
4053.6807,4588.151,5203.904
-451.2539,90.302,660.99023
4279.7607,4840.124,5521.9404
4127.682,4669.6343,5296.22
4028.3745,4513.55,5054.02
4098.0713,4562.563,5161.3916
4007.8376,4484.2812,5059.0693
3661.7578,4101.2227,4655.2344
-325.31445,86.66162,599.05176
3083.579,3577.8362,4086.5005
2716.415,3189.5947,3730.8267
2633.726,3117.1604,3742.7544
3048.6616,3541.2524,4180.758
3190.127,3671.3564,4352.3975
4219.7256,4772.907,5542.265
-61.28418,294.4795,907.17334
5302.109,6000.1914,7037.293
4474.291,5109.3213,6027.0557
4592.599,5220.877,6106.426
4386.747,4989.2134,5775.8643
4373.5493,4962.026,5761.293
4096.55,4663.516,5375.975
-296.20166,168.51831,791.79297
3642.073,4056.4885,4616.3135
3350.0,3829.095,4427.36
3155.9666,3637.9817,4199.7695
3306.0488,3739.9487,4301.59
3075.3147,3534.5623,4100.518
3994.0374,4448.111,5032.422
-361.22314,106.64136,663.33984
4172.7676,4630.4517,5303.3516
3958.6848,4403.1655,5034.823
3859.8652,4346.8374,4967.6094
3781.1904,4221.747,4798.6763
3902.4365,4352.1265,4963.013
3747.9004,4248.948,4832.297
-211.09229,192.45728,761.62646
3407.4219,3890.5264,4478.351
3228.185,3700.5872,4273.1387
2505.8562,3030.586,3539.946
2774.7563,3273.4114,3734.6294
2795.5305,3283.6592,3779.0098
4090.5022,4709.599,5362.873
-282.99463,90.44531,632.79614
4808.4116,5461.1245,6416.1235
4745.336,5433.449,6466.8677
4596.3047,5359.7217,6482.96
4396.6387,5261.2656,6389.8916
4568.745,5456.0264,6722.6455
