p10,median,p90
-520.89844,322.07886,1349.4104
5803.953,6958.8677,8596.683
4517.712,5510.256,6745.8926
4590.203,5636.072,6992.651
4507.1562,5470.785,6731.1826
4854.585,5847.8706,7296.4785
3670.6296,4539.782,5701.4385
-323.90625,453.3401,1604.6506
3330.0583,4365.497,5750.385
2596.9832,3743.922,5225.0405
2472.221,3659.6226,5168.827
-1782.792,-652.6157,830.33276
3350.4575,4551.9346,5962.1777
3634.8184,4718.9,6098.0713
-523.46924,304.45337,1517.2161
5094.5225,6219.886,7771.3955
4256.286,5355.574,6680.462
4294.994,5380.092,6691.257
4757.532,5727.6963,7024.5537
4827.663,5802.4414,7237.801
3405.6763,4406.5747,5808.377
-610.30176,372.3103,1702.1147
-1321.5776,-105.6438,1535.7166
1932.31,3607.198,5934.452
2120.3652,3476.287,5292.104
3116.5386,4264.8857,5813.7363
3158.3716,4156.421,5581.461
4078.1646,5101.7744,6564.5234
-286.22217,551.1902,1761.5371
5994.1016,7366.968,9156.6455
5107.1807,6271.5693,7863.3896
4899.681,6046.699,7590.851
-158.35205,1586.6411,4830.629
4851.525,6141.659,7970.577
3604.9702,4525.2944,5708.221
-477.0371,292.96533,1230.1382
3464.9077,4334.4155,5345.9463
2305.7256,3211.3218,4169.422
2220.3765,3091.8804,4056.0403
2818.4873,3600.9102,4543.1157
2949.13,3701.8005,4567.766
3627.2893,4379.8154,5184.295
-765.85596,-43.98291,754.17017
5411.046,6250.0273,7344.99
4400.694,5224.91,6128.2744
4318.9404,5084.9463,5907.008
4520.818,5286.377,6142.3555
4545.9297,5285.4385,6148.08
2939.243,3707.8726,4487.3745
-156.78125,478.7754,1214.7075
2904.856,3625.6113,4394.867
2234.4915,2993.9307,3761.6448
1951.9113,2796.432,3635.6584
2905.4321,3676.0586,4545.1577
2759.3574,3580.977,4439.803
3704.567,4424.3115,5358.6914
-371.27783,152.88525,884.08203
5824.87,6785.546,8016.374
4670.1084,5510.7705,6557.327
4859.1,5715.7036,6756.1904
4830.3955,5667.839,6667.9434
4937.337,5840.992,6812.1904
3144.5327,3871.0225,4743.121
-264.62158,368.68286,1149.6748
3546.9485,4247.083,5034.6943
2849.33,3582.8572,4395.302
2451.5073,3187.1323,3917.106
2855.7583,3568.4863,4284.1177
2629.604,3362.8035,4167.11
3518.7253,4206.6387,4994.869
-653.86475,45.389404,840.01074
5287.387,6112.0107,7224.5977
4090.5137,4861.022,5793.086
4265.136,5042.038,5912.8667
4087.4424,4834.041,5699.8535
4365.6157,5135.7793,6053.626
2895.9282,3587.2898,4314.252
-246.10449,420.34082,1181.0469
3348.8347,4117.809,4920.6875
2422.9814,3282.1973,4053.698
2244.42,3003.3516,3764.1826
2394.516,3145.3765,3824.4456
2705.7349,3453.9966,4146.9707
3326.5554,4074.39,4911.34
-655.959,11.751709,851.5437
5615.7256,6613.8896,7843.542
4833.868,5851.4526,7104.48
4871.636,5983.54,7439.6406
4785.3633,5951.7656,7371.2783
4957.811,6163.998,7678.5005
