p10,median,p90
1208.93798828125,5034.48974609375,14682.634765625
889.5283203125,4795.3349609375,14420.185546875
878.47216796875,4986.65380859375,16238.388671875
816.54443359375,4809.59814453125,14992.462890625
656.00439453125,4459.1103515625,14103.048828125
626.2685546875,4658.54248046875,15175.802734375
813.23291015625,5410.26318359375,20252.19921875
961.83837890625,5551.9013671875,20788.6328125
885.5166015625,5169.443359375,18019.267578125
786.9892578125,5281.87109375,18068.751953125
592.43408203125,4734.083984375,15483.501953125
495.4345703125,4678.630859375,14845.505859375
556.91845703125,4719.8251953125,14687.306640625
411.4384765625,4808.787109375,15598.037109375
352.34814453125,4546.7578125,15959.537109375
791.45751953125,5846.4423828125,22754.724609375
-109.16259765625,4921.462890625,16685.916015625
-87.60205078125,4946.50048828125,16560.357421875
-123.248046875,5293.904296875,17899.044921875
-155.32275390625,5052.7841796875,18239.779296875
-381.5595703125,4600.828125,16090.169921875
-570.7060546875,4422.21484375,15822.53515625
-451.677734375,4763.935546875,18693.33984375
-358.826171875,5041.2724609375,19905.830078125
-450.53564453125,5307.7578125,21388.8984375
-387.57275390625,4830.59423828125,18325.03515625
-581.70458984375,4661.2109375,17042.677734375
-703.38916015625,4539.701171875,16048.310546875
-682.26171875,4579.79296875,16270.470703125
-792.81005859375,4813.9794921875,18421.830078125
