p10,median,p90
7704.544,8856.691,10044.875
8288.458,9461.68,10690.8
9180.058,10311.415,11599.281
-1083.9673,-40.817383,1164.5347
6376.8193,7651.993,8866.925
6203.326,7334.422,8532.402
6214.008,7333.187,8535.624
5626.7354,6793.5796,8044.777
6925.2554,8061.462,9202.377
8672.353,9874.598,11136.301
-561.147,427.61865,1489.46
7345.522,8568.211,9815.38
7244.396,8452.816,9627.988
7125.106,8300.512,9501.558
6324.2114,7538.581,8825.253
7475.8574,8649.574,9910.226
8380.554,9473.016,10702.023
-1286.3945,-188.6128,969.74854
5673.428,6816.8154,7916.8633
5396.2534,6554.6343,7753.5796
5640.8945,6781.72,7917.9375
5593.638,6733.246,7861.3643
6660.9956,7802.9194,9015.253
8590.04,9860.419,11243.643
-999.1572,-38.393555,1055.5679
7895.436,9124.59,10444.028
7700.033,8985.232,10294.353
7685.1323,9020.158,10431.732
7619.0835,8997.843,10393.332
8226.355,9653.475,11071.207
