p10,median,p90
309.69775390625,5096.6884765625,17084.8125
5.29638671875,4846.21826171875,16542.71875
-68.09033203125,5111.0615234375,18157.912109375
-168.94482421875,4865.259765625,17156.4609375
-369.54248046875,4502.359375,16130.8203125
-431.70849609375,4733.9326171875,17230.701171875
-255.4248046875,5490.744140625,22732.298828125
-90.111328125,5712.86474609375,23276.23046875
-122.431640625,5266.0595703125,20297.23046875
-258.72607421875,5444.88037109375,20386.24609375
-473.17431640625,4797.74755859375,17990.681640625
-595.75830078125,4758.728515625,17351.46484375
-575.31201171875,4812.1787109375,17425.484375
-713.11669921875,4920.13623046875,18619.267578125
-801.08740234375,4632.5478515625,18850.310546875
-345.05224609375,6011.30712890625,26546.04296875
-1698.57666015625,5044.056640625,20731.76171875
-1641.76220703125,5082.01611328125,20598.392578125
-1817.59423828125,5436.638671875,21337.22265625
-1858.92041015625,5177.447265625,21666.662109375
-2106.23388671875,4625.9140625,19576.7578125
-2348.04443359375,4483.76953125,19000.2265625
-2288.68701171875,4879.7275390625,22351.21875
-2193.09521484375,5219.41796875,23905.66796875
-2174.05712890625,5484.3916015625,26498.990234375
-2216.89111328125,4968.14453125,22557.8828125
-2403.46923828125,4753.689453125,21122.71875
-2505.94189453125,4590.8134765625,20147.802734375
-2506.95751953125,4661.5,20749.732421875
-2691.65771484375,4913.552734375,23544.810546875
