p10,median,p90
5839.0747,6611.5996,7425.179
5765.173,6585.957,7501.0713
5081.1387,6017.607,6972.5757
-883.2754,-226.5249,777.3423
5476.247,6314.023,7187.035
5339.336,6228.021,7148.306
5425.092,6268.9893,7188.4854
4866.1562,5849.6445,6841.163
5100.61,5989.7075,6935.2207
5140.576,6031.368,6956.486
-486.95654,128.52344,1010.54346
6093.627,6891.5547,7742.015
5915.5234,6788.627,7662.668
5854.723,6740.639,7652.2354
5570.7666,6512.2607,7428.002
5548.7544,6488.6504,7406.7227
4919.7383,5838.698,6705.327
-572.60645,64.25244,891.78467
5425.29,6250.232,7199.96
5254.3047,6199.882,7187.903
5297.074,6148.0312,7084.619
4964.554,5951.132,6938.4736
5098.2383,6051.9937,7029.107
4997.8154,5950.8457,6991.129
-577.0679,-42.739746,833.0957
6065.5625,7007.0664,8102.9766
5943.4707,6911.4795,8032.9307
5752.307,6765.653,7863.9556
5625.1416,6699.6094,7870.4243
5529.2705,6686.914,7857.588
