p10,median,p90
4341.2764,4902.206,5434.3804
4340.7065,4883.664,5432.523
4578.74,5061.3257,5618.0615
-724.5254,-253.34277,366.1189
4023.0059,4511.4385,5056.6245
3779.9375,4285.319,4773.7554
3556.3499,4060.226,4571.4624
3371.105,3902.1345,4440.493
3461.3857,4018.7214,4523.711
4184.362,4624.7793,5095.116
-263.00342,178.17676,625.6692
4313.5503,4784.0615,5290.6094
4231.2407,4727.163,5219.8477
3860.199,4368.6665,4878.5513
3241.8223,3836.3179,4453.9805
3777.7026,4328.372,4873.369
3858.102,4345.5986,4850.81
-562.2793,-60.696777,432.53394
3199.917,3755.927,4301.797
3290.3965,3821.5117,4367.0757
2710.7622,3256.4229,3817.7834
2977.2502,3497.303,3934.906
3163.9172,3681.8416,4225.385
4237.713,4749.3354,5300.9106
-455.22656,-55.536133,480.59888
4868.442,5480.0415,6089.628
4934.93,5546.126,6247.9414
4679.927,5356.4976,6104.3164
4429.639,5187.7734,6023.065
4476.7554,5293.839,6099.6865
