p10,median,p90
7071.876,8315.02,10121.0
7003.1646,8164.0776,10029.694
6466.706,7564.918,9054.035
-1020.09424,-346.33545,877.8286
5717.557,6651.1167,7785.299
5610.0776,6401.559,7315.325
5519.129,6289.8438,7249.9717
5818.6865,6618.943,7607.872
6139.792,6928.516,7892.835
6797.179,7696.672,8924.625
-74.83594,570.9424,1753.7285
7530.676,8578.933,10368.057
6762.8857,7809.2197,9520.488
6251.295,7288.946,8984.132
5578.505,6631.753,8234.53
6305.5244,7423.15,9160.994
5651.802,6457.419,7497.203
-453.98047,169.12451,971.79346
5337.5186,6239.4766,7303.38
4865.0444,5747.3096,6863.054
4277.789,5079.2856,6139.9473
4836.869,5695.82,6684.5923
5726.728,6633.1294,7924.2573
6504.0244,7609.7783,9144.846
-183.74268,380.1377,1572.69
7874.863,9463.267,12296.869
7269.1206,8886.154,11569.098
6884.2065,8731.542,11572.44
6710.357,8626.111,11604.589
6889.632,8723.509,11752.059
