timestamp,p10,median,p90
2015-07-02,6914.2,7450.7163,8002.252
2015-07-03,6478.74,7057.838,7635.825
2015-07-04,2379.1633,2924.7803,3505.8252
2015-07-05,-642.12354,-56.813965,535.16895
2015-07-06,5593.44,6146.478,6702.122
2015-07-07,5030.9414,5507.098,5988.4365
2015-07-08,4811.4624,5264.4844,5773.1953
2015-07-09,4718.3643,5198.9062,5679.66
2015-07-10,4654.3745,5087.622,5575.0225
2015-07-11,2876.0007,3387.244,3939.4092
2015-07-12,-372.14307,146.27686,669.1294
2015-07-13,8696.02,9366.893,9985.05
2015-07-14,7207.817,7722.0645,8235.4375
2015-07-15,6716.393,7206.419,7725.258
2015-07-16,5987.7026,6493.2705,6960.7524
2015-07-17,5740.845,6266.7563,6806.836
2015-07-18,2407.4495,2996.4417,3637.211
2015-07-19,-358.68604,273.92334,908.10645
2015-07-20,5429.788,6071.7744,6629.1143
2015-07-21,4461.383,5022.573,5533.423
2015-07-22,4212.435,4754.824,5273.4644
2015-07-23,3749.9556,4324.8076,4824.7715
2015-07-24,3988.8672,4587.608,5117.679
2015-07-25,2963.1619,3614.085,4235.755
2015-07-26,-642.70264,-38.634277,639.8467
2015-07-27,8875.094,9790.154,10769.957
2015-07-28,7293.037,8112.0474,8983.064
2015-07-29,6607.2954,7455.16,8270.23
2015-07-30,6025.8154,6941.047,7790.033
2015-07-31,6237.3057,7216.4854,8273.654
