timestamp,p10,median,p90
2015-07-02,5595.2183,6238.9404,6936.5938
2015-07-03,5088.8887,5807.95,6547.854
2015-07-04,2533.2534,3218.0557,3856.5786
2015-07-05,-622.5122,-108.42627,486.0769
2015-07-06,4241.6143,4858.901,5500.6743
2015-07-07,3921.7222,4488.7466,5117.4863
2015-07-08,4044.5137,4587.5083,5209.679
2015-07-09,4251.62,4822.5317,5455.1865
2015-07-10,4163.845,4743.6167,5368.8984
2015-07-11,3220.9932,3797.1675,4448.2266
2015-07-12,-128.57764,302.33838,900.958
2015-07-13,5939.179,6678.734,7479.7104
2015-07-14,5151.0986,5840.633,6546.365
2015-07-15,5214.1094,5904.4355,6601.832
2015-07-16,4791.26,5430.7886,6139.8022
2015-07-17,4692.654,5373.7686,6125.9043
2015-07-18,2226.0024,2845.9902,3518.2415
2015-07-19,-453.58936,-21.662354,473.98975
2015-07-20,4189.7993,4791.122,5387.2676
2015-07-21,3642.7583,4199.618,4797.524
2015-07-22,3824.217,4369.808,4943.9033
2015-07-23,3796.842,4356.148,4909.2183
2015-07-24,3959.2056,4530.888,5135.6577
2015-07-25,2909.4087,3515.517,4134.0317
2015-07-26,-362.18164,13.889893,551.5598
2015-07-27,6144.3286,7010.8745,8068.5728
2015-07-28,5354.131,6190.264,7256.5103
2015-07-29,5108.465,5961.8823,6961.661
2015-07-30,4995.2705,5835.883,6799.6885
2015-07-31,4941.371,5913.9688,6982.208
