timestamp,p10,median,p90
2015-07-02,7171.038,7849.3086,8542.339
2015-07-03,7870.7217,8643.921,9426.535
2015-07-04,4242.4077,4905.0674,5552.659
2015-07-05,-326.3252,278.35645,940.18945
2015-07-06,5508.2515,6147.482,6788.261
2015-07-07,5093.0146,5638.6846,6194.4585
2015-07-08,5358.298,5894.1147,6488.427
2015-07-09,4889.1133,5475.814,6039.565
2015-07-10,5981.908,6570.981,7186.501
2015-07-11,4885.6045,5481.6064,6131.3955
2015-07-12,-82.11719,479.9043,1101.8926
2015-07-13,8896.525,9704.981,10503.439
2015-07-14,7375.7695,8024.897,8682.845
2015-07-15,7295.5044,7939.7803,8598.863
2015-07-16,6417.036,7049.871,7710.038
2015-07-17,7411.358,8094.244,8870.81
2015-07-18,4366.1455,5013.7954,5761.8813
2015-07-19,228.69336,873.78955,1566.4749
2015-07-20,5780.307,6504.595,7153.4917
2015-07-21,4803.535,5432.905,6051.7754
2015-07-22,5078.047,5716.6226,6325.7476
2015-07-23,4425.375,5072.839,5646.526
2015-07-24,5710.6685,6395.844,7083.456
2015-07-25,4676.772,5388.135,6140.4717
2015-07-26,-446.9995,100.40088,819.4844
2015-07-27,9398.623,10504.27,11785.244
2015-07-28,7316.267,8306.551,9389.594
2015-07-29,7185.214,8216.049,9328.013
2015-07-30,6567.6943,7632.702,8786.945
2015-07-31,7754.718,9065.009,10485.583
