timestamp,p10,median,p90
2015-07-02,8249.448,9466.265,10674.422
2015-07-03,8239.87,9451.279,10694.596
2015-07-04,4313.747,5641.332,6832.3115
2015-07-05,-1645.1494,-669.38574,338.1548
2015-07-06,7319.7383,8425.479,9603.222
2015-07-07,6632.134,7647.605,8693.358
2015-07-08,6085.332,7044.2075,8097.9805
2015-07-09,6569.9277,7520.6533,8560.945
2015-07-10,7548.302,8502.468,9513.437
2015-07-11,5148.014,6140.9297,7151.41
2015-07-12,-230.94873,536.1704,1406.9624
2015-07-13,8818.421,9837.968,11062.689
2015-07-14,7763.752,8819.737,9791.225
2015-07-15,6994.389,7960.5557,8947.311
2015-07-16,6582.7646,7513.8994,8408.166
2015-07-17,6718.6045,7695.7095,8670.64
2015-07-18,3490.5237,4572.574,5681.814
2015-07-19,-1682.3926,-812.47314,-26.486816
2015-07-20,7012.093,8098.2744,9150.577
2015-07-21,6067.214,7110.3867,8165.365
2015-07-22,6063.455,7077.761,8129.06
2015-07-23,6178.115,7216.9185,8269.923
2015-07-24,7465.142,8603.515,9767.569
2015-07-25,5275.1387,6545.5156,7791.4404
2015-07-26,-11.220215,818.07666,1786.4863
2015-07-27,9111.8,10703.17,12444.393
2015-07-28,7931.1772,9392.957,10972.254
2015-07-29,7033.3496,8382.646,9860.59
2015-07-30,7294.421,8684.838,10083.94
2015-07-31,7587.913,9077.783,10624.295
