timestamp,p10,median,p90
2015-07-02,5902.232,7276.7246,8646.568
2015-07-03,5641.0503,6962.504,8225.618
2015-07-04,3849.4888,5194.509,6530.7065
2015-07-05,-1682.4033,-587.5029,527.8955
2015-07-06,5226.6006,6594.838,7930.96
2015-07-07,4092.9426,5426.7964,6711.5674
2015-07-08,4955.49,6077.738,7228.587
2015-07-09,4028.668,5231.3926,6340.8643
2015-07-10,5014.8984,6188.242,7287.6772
2015-07-11,4535.9155,5668.027,6715.5923
2015-07-12,-132.51904,716.54297,1734.0999
2015-07-13,6571.083,7847.6357,9278.849
2015-07-14,5927.9443,7047.306,8181.1787
2015-07-15,5831.0815,6952.115,8043.158
2015-07-16,4394.4546,5464.6504,6482.018
2015-07-17,4188.7085,5410.9146,6493.9155
2015-07-18,2947.7896,4122.888,5255.855
2015-07-19,-1796.2329,-821.95996,101.17871
2015-07-20,5296.4243,6440.8438,7567.8984
2015-07-21,4037.6582,5287.397,6515.632
2015-07-22,5151.506,6299.5044,7496.0713
2015-07-23,4137.582,5417.87,6668.001
2015-07-24,5527.6235,6901.099,8224.455
2015-07-25,4911.538,6466.9126,7962.567
2015-07-26,-159.29395,817.06934,2146.7637
2015-07-27,7459.0464,9440.921,11383.159
2015-07-28,6090.949,7774.8936,9597.904
2015-07-29,6172.867,7844.0327,9603.66
2015-07-30,4861.381,6540.318,8151.861
2015-07-31,5138.0957,6891.292,8570.806
