timestamp,p10,median,p90
2015-07-02,9065.661,10529.697,11886.018
2015-07-03,8551.059,9913.604,11249.131
2015-07-04,5910.097,7249.3477,8659.859
2015-07-05,-1214.0605,-181.1543,989.9448
2015-07-06,8336.477,9534.56,10860.175
2015-07-07,7280.2583,8339.657,9410.033
2015-07-08,6975.5503,7974.9385,9048.405
2015-07-09,7240.0366,8248.934,9279.29
2015-07-10,7383.858,8482.508,9577.416
2015-07-11,6259.012,7331.7983,8378.844
2015-07-12,-489.78662,332.625,1318.8481
2015-07-13,10584.047,11858.033,13248.482
2015-07-14,8777.123,9958.429,11093.119
2015-07-15,8580.066,9706.646,10824.691
2015-07-16,7628.1567,8703.904,9790.346
2015-07-17,7744.5566,8899.223,10061.105
2015-07-18,4770.6914,5913.575,7070.331
2015-07-19,-1183.252,-244.80713,672.7246
2015-07-20,8277.8,9376.838,10500.215
2015-07-21,6680.541,7815.091,8950.234
2015-07-22,6330.9907,7466.065,8590.296
2015-07-23,6419.8564,7570.1587,8763.6
2015-07-24,7047.547,8261.836,9550.961
2015-07-25,6192.7534,7577.8105,8979.768
2015-07-26,-563.14844,385.05957,1540.7104
2015-07-27,11339.074,13138.842,15166.705
2015-07-28,9103.249,10816.863,12655.789
2015-07-29,8434.989,10109.824,11852.27
2015-07-30,8425.194,10069.981,11801.205
2015-07-31,8453.39,10172.16,12016.305
