p10,median,p90
4392.266,4857.0264,5319.907
4443.2114,4926.7056,5400.821
4484.1294,4928.5137,5413.5557
-683.01855,-215.70996,370.9275
3822.9155,4307.138,4806.59
3631.0269,4113.8306,4555.727
3416.7085,3881.5552,4362.0786
3142.9248,3632.3528,4145.815
3236.7632,3746.3481,4227.991
4202.8516,4603.2266,5057.7803
-250.44678,185.03247,608.59863
4470.261,4872.243,5338.9214
4396.6685,4818.9727,5260.6157
4014.0269,4461.7563,4898.238
3471.6018,3990.7644,4522.5312
3927.0493,4411.408,4906.413
3974.566,4418.9575,4879.475
-395.44287,79.10425,548.8074
3031.9756,3545.1638,4027.0247
3146.9272,3630.9592,4102.522
2643.3203,3158.1416,3671.7312
2808.1035,3287.7288,3685.9001
2915.542,3401.878,3898.995
4264.462,4734.1416,5241.965
-367.9126,16.454834,507.31177
4940.7007,5480.3657,6014.841
5003.556,5539.6484,6165.96
4757.5327,5355.333,6048.706
4499.0327,5185.0283,5928.3555
4540.6855,5302.63,6047.882
