p10,median,p90
9579.827,11267.568,13158.477
9508.764,11264.812,13498.455
8705.254,10486.354,12576.572
3438.4346,4833.461,6489.8745
9521.361,11256.318,13293.332
8179.8394,9661.689,11413.2
8050.921,9448.102,11145.837
6866.623,8243.323,10043.0625
6816.127,8183.9634,9886.069
7563.2476,9009.328,10815.123
2985.054,4463.049,5945.6084
10157.6875,11863.49,13944.23
9150.399,10788.396,12815.992
8891.968,10528.421,12399.953
7379.838,8985.27,10823.652
7381.34,9093.6875,10976.582
6620.245,8097.913,9822.442
2894.4053,4353.5693,6026.6367
7709.7256,9342.656,11221.136
6542.0073,8055.498,9888.361
6537.581,7923.8555,9699.531
5810.547,7255.382,8959.837
5632.224,7192.9316,8995.555
6225.443,7854.06,9781.589
2476.8477,4032.3352,5802.8037
9205.1,11499.678,14149.33
8271.992,10363.035,12929.48
8169.02,10420.402,13086.693
7265.326,9559.984,12372.018
7191.084,9606.759,12465.9375
