p10,median,p90
4263.4546,4844.557,5359.2944
4268.4336,4819.6875,5345.9443
4700.4297,5198.1357,5721.9893
-786.0581,-287.4751,328.75073
4131.7305,4617.881,5140.068
3778.7473,4312.7886,4805.6216
3669.5513,4198.6816,4719.2773
3359.047,3926.6694,4496.7476
3548.7798,4133.0,4631.592
4115.2754,4584.2803,5052.167
-208.79199,256.72754,724.657
4122.8164,4651.4043,5154.592
4207.7324,4724.654,5227.203
3547.2014,4179.641,4728.436
3125.4727,3793.8772,4448.5044
3461.6296,4110.8535,4688.7153
3871.1362,4391.834,4903.0728
-737.56885,-189.16406,323.48975
3240.2515,3863.7307,4430.6074
3187.4587,3794.937,4387.864
2656.3113,3257.0413,3867.2483
2979.097,3558.4321,4063.938
3161.857,3745.949,4335.2144
4151.11,4704.443,5278.052
-400.1621,36.883545,601.9104
4611.8335,5243.009,5832.042
4830.458,5463.0967,6132.6934
4529.52,5260.395,6010.76
4231.1533,5106.861,5967.005
4304.2437,5192.6807,6027.3906
