p10,median,p90
5411.04,6183.2583,6962.1797
5154.2617,5953.9033,6740.5967
3681.2656,4446.5923,5234.1387
-1290.2847,-504.1211,329.26367
5089.3296,5896.596,6762.833
4511.782,5250.215,6044.846
4214.366,4929.0093,5733.515
4246.951,4952.3315,5730.6587
4487.391,5217.168,5994.833
3316.9885,4094.0308,4860.7573
-272.55127,397.7422,1217.6584
5989.6143,6917.6606,7988.241
5679.213,6639.322,7644.602
4637.6406,5599.793,6619.582
4366.0415,5309.8433,6340.04
4512.0527,5549.3394,6531.2676
2799.2954,3738.6123,4657.925
-1506.7871,-620.54834,301.79102
4822.7217,5759.597,6779.3145
3960.3635,4908.726,5909.04
3594.7651,4473.12,5405.32
3926.0642,4746.938,5669.663
4170.3086,5021.0557,5970.7896
3090.6062,4034.4653,4949.8193
-498.47656,227.10889,1127.8396
5852.323,7065.2163,8401.461
5400.0884,6546.4062,7907.451
4750.776,5860.62,7127.993
4700.2407,5838.561,7074.065
4754.7285,5990.338,7294.7217
