p10,median,p90
2636.85986328125,5705.7060546875,20818.193359375
2610.85107421875,5648.830078125,18686.287109375
2664.14599609375,5621.39453125,17979.541015625
2657.27978515625,5594.99365234375,17845.697265625
2710.7890625,5581.9150390625,17635.927734375
2674.83642578125,5590.51513671875,17423.951171875
2670.91015625,5650.74951171875,18678.75390625
2663.529296875,5669.82763671875,18988.951171875
2635.791015625,5654.96337890625,18947.271484375
2701.22607421875,5670.2763671875,18518.982421875
2677.26025390625,5644.939453125,17789.59765625
2701.03466796875,5646.7265625,17925.62890625
2648.3349609375,5662.15283203125,18181.412109375
2637.302734375,5648.587890625,18455.6796875
2630.76025390625,5622.31787109375,18849.431640625
2594.27099609375,5635.9755859375,19529.30078125
2643.17822265625,5591.88818359375,19093.5
2572.52197265625,5596.56005859375,18289.783203125
2641.17724609375,5597.384765625,18117.69140625
2606.0166015625,5578.5009765625,18413.37109375
2620.29931640625,5558.33984375,18431.75390625
2571.66259765625,5581.1650390625,18340.50390625
2624.19775390625,5602.4052734375,18996.009765625
2623.4111328125,5613.814453125,18826.779296875
2530.0107421875,5590.69091796875,18887.98828125
2643.349609375,5603.08642578125,18285.291015625
2641.58740234375,5581.765625,17688.859375
2682.59423828125,5575.16064453125,17672.97265625
2587.16796875,5586.86572265625,17959.49609375
2550.73046875,5608.1044921875,18333.126953125
