p10,median,p90
4729.3794,6474.081,7800.0806
4758.8066,6542.376,7905.62
5357.7695,7130.307,8454.96
-2213.495,-847.42285,535.4082
3867.4392,5688.418,7088.715
4214.6616,5854.9707,7107.3965
3709.0454,5361.73,6592.4414
2765.3254,4344.8164,5544.746
3413.437,5018.3076,6224.3203
5219.6597,6700.8496,7847.883
-1341.314,-198.5581,1029.554
5472.368,7100.838,8384.718
5288.3774,7022.368,8352.624
4538.5034,6543.808,7920.2036
2730.0508,4777.0474,6437.289
4483.6943,6518.962,7925.3516
5018.759,6668.238,7946.0156
-1782.498,-388.33594,869.7671
4328.0146,6128.7427,7409.4194
3863.0156,5732.3887,7089.0254
3405.0054,5268.3154,6645.5444
2504.676,4561.814,6026.912
1479.0752,3396.6387,5070.5503
4482.0254,6381.2705,7796.336
-1055.1973,214.98926,1376.0813
5116.753,6953.7827,8398.684
5344.759,7147.122,8618.084
4880.377,7072.0864,8596.631
3169.8286,5531.796,7309.8164
4251.833,6790.6904,8456.397
