p10,median,p90
4232.773,4817.014,5326.795
4332.851,4865.28,5383.034
4591.8604,5073.491,5606.2344
-738.2539,-278.10645,314.63623
3980.3765,4475.744,5015.28
3678.639,4209.7544,4690.791
3516.063,4025.6348,4529.8486
3177.9888,3726.944,4263.695
3385.4443,3948.0503,4451.503
4150.292,4608.3433,5072.704
-258.78955,185.01392,619.4646
4248.16,4736.2163,5227.9316
4235.5728,4732.29,5206.6113
3756.444,4304.172,4791.7144
3220.5894,3815.231,4403.3887
3786.2622,4335.16,4865.0977
3878.5276,4361.032,4851.0347
-628.25977,-114.295654,368.08545
3126.0806,3691.3398,4234.998
3230.0068,3777.8965,4320.1
2623.7441,3179.329,3757.466
2840.0615,3375.0984,3839.279
2995.8643,3549.198,4128.6646
4210.213,4742.3843,5298.9326
-425.51562,-22.350586,510.47437
4751.8574,5358.8335,5948.551
4901.871,5509.5723,6177.018
4597.352,5297.8135,6042.7354
4344.4736,5139.6016,5937.0312
4453.851,5268.541,6039.558
