p10,median,p90
7167.544,8070.905,9053.135
7910.243,8894.395,9913.451
8289.845,9235.555,10291.539
-1501.2285,-613.81934,378.94922
6131.5024,7143.956,8129.283
5111.2163,5967.04,6814.1733
4779.372,5719.8784,6687.8457
4481.243,5538.6646,6478.9
6229.7324,7210.6216,8240.321
8362.622,9357.094,10442.001
-332.32275,460.28223,1531.3667
8545.394,9544.418,10865.041
7461.2188,8596.203,9852.246
6507.5127,7731.9287,9107.228
5669.01,6916.6436,8368.376
7628.079,8733.256,10118.818
7534.7295,8574.664,9715.646
-1590.8643,-619.3447,426.22656
5227.1416,6336.3164,7474.656
4380.654,5561.582,6759.025
3617.086,4730.3105,5931.2305
4422.7827,5531.1367,6578.225
5691.615,6791.017,8043.7
8002.6426,9259.914,10742.136
-699.6577,80.407715,1231.3364
8263.344,9670.993,11365.941
7619.83,9026.092,10833.426
7464.201,8908.097,10801.737
7010.2627,8580.406,10498.266
7778.382,9442.842,11464.251
