p10,median,p90
148.810546875,5107.51611328125,16934.052734375
-172.67529296875,4845.83154296875,16402.3671875
-256.4599609375,5116.2431640625,18202.37109375
-357.6474609375,4880.7236328125,17092.11328125
-590.26806640625,4500.8447265625,15969.873046875
-641.43017578125,4733.22412109375,17104.0625
-449.0244140625,5513.283203125,22777.103515625
-270.75390625,5744.4091796875,23374.462890625
-322.259765625,5264.9111328125,20142.8359375
-433.228515625,5475.900390625,20428.974609375
-690.74609375,4802.173828125,17736.931640625
-811.736328125,4757.76318359375,17067.78515625
-786.11279296875,4824.1416015625,17165.98828125
-913.8837890625,4946.61328125,18467.12109375
-1046.1181640625,4618.08447265625,18531.279296875
-519.7353515625,6077.46484375,26705.70703125
-1927.53759765625,5036.30126953125,20452.56640625
-1874.65771484375,5080.99169921875,20348.259765625
-2052.48974609375,5452.85595703125,21358.978515625
-2097.07763671875,5180.4892578125,21643.068359375
-2353.79052734375,4648.84423828125,19407.1171875
-2599.70654296875,4495.6533203125,18840.1796875
-2519.33349609375,4893.341796875,22309.01171875
-2415.65478515625,5251.2099609375,24063.02734375
-2422.15869140625,5469.60595703125,26327.041015625
-2472.63720703125,4974.845703125,22633.580078125
-2680.71630859375,4760.31884765625,21017.361328125
-2779.55224609375,4597.1494140625,19879.5546875
-2779.44189453125,4668.5888671875,20466.841796875
-2965.71826171875,4926.369140625,23543.59375
