p10,median,p90
4028.4592,4509.909,5025.8916
3878.8987,4398.778,4948.085
1965.788,2415.2793,2906.2024
-411.64258,-38.91455,417.68115
3694.4421,4238.949,4848.696
3248.8015,3718.6367,4241.2886
2982.9573,3454.6062,4017.6606
2782.8772,3273.9392,3834.675
2664.959,3109.0981,3634.953
2240.934,2765.2124,3328.3025
-248.10791,108.828125,700.4319
5073.1016,5873.264,6873.53
4418.467,5169.641,6113.025
3881.986,4643.1943,5668.082
3178.5625,4067.811,5115.168
4532.127,5656.996,6969.994
2568.5496,3636.286,4971.0293
464.28882,1116.3062,2040.2804
4524.296,5688.418,7505.3086
4084.0752,5189.748,6771.048
3591.2246,4611.7334,6154.7734
3474.2144,4455.855,5874.963
3426.9512,4481.143,5993.0967
2776.1755,3820.787,5362.3267
356.14917,1022.28076,2411.8152
5506.279,7260.122,10571.037
4719.898,6334.996,9228.393
3974.2874,5698.5684,8587.442
3833.0737,5661.375,8654.724
3830.108,5708.4014,8739.511
