p10,median,p90
2047.8286,4016.4146,4859.751
2221.0044,4366.702,5245.445
1966.5991,3952.722,4766.858
1913.2993,3913.2732,4748.6885
2045.7788,4063.952,4937.9443
2032.5781,4050.4788,4914.95
2049.29,3974.5762,4799.0195
1962.8257,3991.8855,4833.01
2098.0825,4239.8755,5115.3887
2702.0044,5270.9126,6351.0234
2346.6924,4651.623,5641.5703
3555.8225,6485.555,7658.723
1767.3691,3919.286,4896.8633
1895.4043,3983.5676,4843.111
2095.8403,4070.4358,4947.61
2442.9985,4639.0156,5573.9414
2386.4863,4517.535,5489.547
2319.0698,4353.6147,5256.486
2391.2437,4450.794,5342.293
2471.7236,4548.379,5417.6006
2418.0737,4466.623,5331.13
2472.4917,4548.5337,5407.596
2526.4883,4457.4727,5274.8857
2644.87,4617.8003,5482.3135
2506.6304,4502.3965,5337.118
2574.976,4504.88,5348.188
2500.3423,4500.833,5322.7915
2660.9517,4610.669,5459.9004
2489.9321,4463.334,5298.87
2446.712,4468.485,5353.3633
