p10,median,p90
5263.1553,7953.6504,10084.361
5004.0337,7881.5283,10052.438
1655.4883,4277.7563,6784.0127
-1447.6401,-257.938,1205.8154
2437.197,6878.129,9460.297
2487.2625,7290.6846,10188.898
1739.5522,6298.492,9505.578
1206.3765,5670.934,8855.027
1413.8276,6034.49,9326.131
-443.29053,2691.9849,6564.772
-1821.0029,-16.790527,2365.6646
5.8623047,5460.311,10025.433
-116.29199,5493.8315,10131.936
-265.21826,3629.4333,8673.863
-583.57275,3286.4258,8140.096
-694.417,3116.4639,8183.752
-50.87207,1864.553,5162.5195
-1843.9678,-172.24707,1633.6401
1405.9565,5936.3833,9163.495
2080.5461,6587.6035,9948.363
1972.417,6308.616,9543.098
1775.1677,5938.65,9226.129
2567.5432,6244.4116,9016.72
1208.1978,3957.7563,6736.1836
-1321.0688,213.7373,1715.5935
4337.285,7627.0234,10179.715
4548.5957,7785.399,10526.599
4193.406,7373.8076,9957.285
4162.9805,6965.2524,9364.981
4204.9937,7065.7163,9239.398
