store_id,context_len,mode,mae_all,mae_open,mae_closed,n_open,n_closed,pred_path
15,512,covariate,242.9327534,270.0623538461539,66.5903505,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_15.csv
19,512,covariate,269.1033372666667,290.4779730769231,130.1682045,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_19.csv
21,512,covariate,453.69467909,516.0725230769231,48.238693175,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_21.csv
25,512,covariate,478.1872900999999,534.552946153846,111.81052574999998,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_25.csv
28,512,covariate,191.28148886666665,202.5455423076923,118.0651415,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_28.csv
29,512,covariate,302.8937399999999,295.68309999999997,349.76290000000006,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_29.csv
34,512,covariate,282.9729773333334,316.3921653846154,65.748255,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_34.csv
49,512,covariate,244.89241260000006,274.01176538461544,55.6166195,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_49.csv
62,512,covariate,186.87733684633332,203.50269999999995,78.8124763475,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_62.csv
65,512,covariate,192.54454436666668,211.9382692307692,66.48533275,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_65.csv
75,512,covariate,367.74120633333325,388.03520769230767,235.83019750000003,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_75.csv
78,512,covariate,177.98917466666668,187.59304615384616,115.56401,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_78.csv
79,512,covariate,232.5656563333333,257.87172307692305,68.0762225,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_79.csv
92,512,covariate,260.3995718533334,284.1038653846154,106.3216639,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_92.csv
107,512,covariate,267.04067266666675,278.5589961538463,192.17156999999997,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_107.csv
109,512,covariate,206.06389093333334,223.66596923076924,91.65038200000001,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_109.csv
110,512,covariate,242.01604953333333,248.66271153846154,198.8127465,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_110.csv
112,512,covariate,338.6815795,376.9994307692308,89.61554625,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_112.csv
123,512,covariate,260.1871531666665,277.8378576923075,145.45757375,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_123.csv
146,512,covariate,268.09619860000004,292.12687692307696,111.8967895,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_146.csv
147,512,covariate,274.1711017666667,287.8063153846154,185.54221325,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_147.csv
151,512,covariate,204.8432374333334,220.90889230769238,100.41648075,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_151.csv
170,512,covariate,209.08723823666668,223.75995384615388,113.71458677500001,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_170.csv
179,512,covariate,236.32367599999992,260.104973076923,81.745245,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_179.csv
182,512,covariate,261.6860219999999,292.36162307692297,62.29461499999999,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_182.csv
216,512,covariate,320.69257583333336,354.95325769230783,97.99814375,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_216.csv
227,512,covariate,222.79139249999997,243.65435384615387,87.18214375000001,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_227.csv
228,512,covariate,256.81915100000003,283.26865000000004,84.8974075,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_228.csv
229,512,covariate,287.15230413333336,311.84245000000004,126.66635600000001,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_229.csv
232,512,covariate,206.65179723333338,214.94161153846156,152.76800425,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_232.csv
234,512,covariate,377.27062646666667,410.79223461538464,159.3801735,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_234.csv
237,512,covariate,229.00655316666672,250.2501884615385,90.92292375,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_237.csv
